timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2023-07-16T00:00:00.000Z,2023-07-16T23:59:59.999Z,2023-07-16T00:25:00.000Z,2023-07-16T23:58:00.000Z,2781,251.098236458,251.8824181632,242.5801455747,242.6568286756,441487282.94,37817749646.0,2023-07-16T23:59:59.999Z
2023-07-15T00:00:00.000Z,2023-07-15T23:59:59.999Z,2023-07-15T10:22:00.000Z,2023-07-15T00:10:00.000Z,2781,248.1755271503,252.5372672708,247.5080680117,251.0997042754,422767367.54,39133595749.35,2023-07-15T23:59:59.999Z
2023-07-14T00:00:00.000Z,2023-07-14T23:59:59.999Z,2023-07-14T04:06:00.000Z,2023-07-14T20:35:00.000Z,2781,256.4642150685,261.1026000435,244.2756694943,248.1916152404,799468587.63,38680409333.98,2023-07-14T23:59:59.999Z
2023-07-13T00:00:00.000Z,2023-07-13T23:59:59.999Z,2023-07-13T18:16:00.000Z,2023-07-13T04:14:00.000Z,2781,244.0022336355,257.2656099145,243.0497316464,256.489694557,761150981.84,39973699058.51,2023-07-13T23:59:59.999Z
2023-07-12T00:00:00.000Z,2023-07-12T23:59:59.999Z,2023-07-12T03:07:00.000Z,2023-07-12T19:37:00.000Z,2781,248.5380798528,250.3406494702,242.8033662694,244.0198881383,505389149.87,38030335059.64,2023-07-12T23:59:59.999Z
2023-07-11T00:00:00.000Z,2023-07-11T23:59:59.999Z,2023-07-11T22:55:00.000Z,2023-07-11T00:37:00.000Z,2781,245.8962671245,249.205393445,244.9390052581,248.5383349731,536228376.78,38734572405.4,2023-07-11T23:59:59.999Z
2023-07-10T00:00:00.000Z,2023-07-10T23:59:59.999Z,2023-07-10T20:07:00.000Z,2023-07-10T08:22:00.000Z,2781,234.2329587607,246.299694268,232.0075661217,245.8742665927,834091612.56,38319420238.35,2023-07-10T23:59:59.999Z
2023-07-09T00:00:00.000Z,2023-07-09T23:59:59.999Z,2023-07-09T01:11:00.000Z,2023-07-09T14:19:00.000Z,2781,236.294553633,237.0195156427,233.4760410273,234.2283628487,289327973.09,36504451694.06,2023-07-09T23:59:59.999Z
2023-07-08T00:00:00.000Z,2023-07-08T23:59:59.999Z,2023-07-08T08:40:00.000Z,2023-07-08T19:34:00.000Z,2781,235.6102578439,237.4119143161,234.6371446645,236.2873817581,319300745.94,36825384935.98,2023-07-08T23:59:59.999Z
2023-07-07T00:00:00.000Z,2023-07-07T23:59:59.999Z,2023-07-07T14:57:00.000Z,2023-07-07T00:04:00.000Z,2781,232.3334248625,236.0791153428,231.6457438946,235.6211530833,418416863.58,36721589170.81,2023-07-07T23:59:59.999Z
2023-07-06T00:00:00.000Z,2023-07-06T23:59:59.999Z,2023-07-06T09:22:00.000Z,2023-07-06T23:40:00.000Z,2781,239.0685333665,244.1026754597,232.1718143167,232.3194308876,536134671.25,36207053766.09,2023-07-06T23:59:59.999Z
2023-07-05T00:00:00.000Z,2023-07-05T23:59:59.999Z,2023-07-05T05:17:00.000Z,2023-07-05T15:41:00.000Z,2781,242.499487588,243.8611121613,237.1201242786,239.0810793664,455501208.51,37260898041.85,2023-07-05T23:59:59.999Z
2023-07-04T00:00:00.000Z,2023-07-04T23:59:59.999Z,2023-07-04T00:46:00.000Z,2023-07-04T19:16:00.000Z,2781,246.3452877907,246.8387875821,241.2285324706,242.4929159554,439591634.5,37792676975.84,2023-07-04T23:59:59.999Z
2023-07-03T00:00:00.000Z,2023-07-03T23:59:59.999Z,2023-07-03T10:04:00.000Z,2023-07-03T23:40:00.000Z,2781,246.2546320346,251.3798550402,245.8848220706,246.3822233125,669962148.12,38398871172.76,2023-07-03T23:59:59.999Z
2023-07-02T00:00:00.000Z,2023-07-02T23:59:59.999Z,2023-07-02T00:52:00.000Z,2023-07-02T04:04:00.000Z,2781,247.7860220416,248.0563941213,243.2412782735,246.2579118986,519491310.81,38379537599.78,2023-07-02T23:59:59.999Z
2023-07-01T00:00:00.000Z,2023-07-01T23:59:59.999Z,2023-07-01T21:31:00.000Z,2023-07-01T00:00:00.000Z,2781,240.3869056243,248.4702577285,240.3869056243,247.7594298252,603755323.06,38613586662.36,2023-07-01T23:59:59.999Z
2023-06-30T00:00:00.000Z,2023-06-30T23:59:59.999Z,2023-06-30T13:04:00.000Z,2023-06-30T01:07:00.000Z,2781,233.1944415074,241.3129369941,232.2005105603,240.369779695,626872820.49,37461938068.72,2023-06-30T23:59:59.999Z
2023-06-29T00:00:00.000Z,2023-06-29T23:59:59.999Z,2023-06-29T13:19:00.000Z,2023-06-29T00:01:00.000Z,2781,230.6324054271,236.421011623,230.5876959009,233.2324538446,332343167.97,36349623363.98,2023-06-29T23:59:59.999Z
2023-06-28T00:00:00.000Z,2023-06-28T23:59:59.999Z,2023-06-28T00:01:00.000Z,2023-06-28T19:49:00.000Z,2781,237.5026423331,237.5801565255,226.9770990036,230.6503672772,480872335.93,35947241950.0,2023-06-28T23:59:59.999Z
2023-06-27T00:00:00.000Z,2023-06-27T23:59:59.999Z,2023-06-27T14:10:00.000Z,2023-06-27T01:21:00.000Z,2781,236.131074322,240.8228426033,234.9900726811,237.4926755824,348181737.92,37013665181.81,2023-06-27T23:59:59.999Z
